Ticker,Start Date,End Date,In S&P 500 (19/07/24)
FL,1996-01-02,2019-08-09,False
VFC,1996-01-02,2024-04-03,False
LNC,1996-01-02,2023-09-18,False
JWN,1996-01-02,2020-06-22,False
STI,1996-01-02,2019-12-09,False
PKI,1996-01-02,2023-05-16,False
RDC,1996-01-02,2014-08-19,False
HRB,1996-01-02,2020-09-21,False
DXC,1996-01-02,2023-10-02,False
MAT,1996-01-02,2019-06-07,False
WHR,1996-01-02,2024-03-18,False
M,1996-01-02,2020-04-06,False
XRX,1996-01-02,2021-03-22,False
AGN,1996-01-02,2020-05-12,False
CBS,1996-01-02,2019-12-05,False
TMK,1996-01-02,2019-08-08,False
PBI,1996-01-02,2017-03-01,False
COV,1996-01-02,2015-01-27,False
AET,1996-01-02,2018-11-29,False
STJ,1996-01-02,2017-01-05,False
AVP,1996-01-02,2015-03-23,False
BHGE,1996-01-02,2019-10-18,False
RTN,1996-01-02,2020-04-06,False
BCR,1996-01-02,2017-12-29,False
TGNA,1996-01-02,2017-06-02,False
SIAL,1996-01-02,2015-11-18,False
UNM,1996-01-02,2021-09-20,False
MWV,1996-01-02,2015-07-02,False
BLL,1996-01-02,2022-05-10,False
CA,1996-01-02,2018-11-06,False
PLL,1996-01-02,2015-08-31,False
LB,1996-01-02,2021-08-03,False
PX,1996-01-02,2018-10-31,False
BMS,1996-01-02,2014-12-05,False
THC,1996-01-02,2016-04-18,False
R,1996-01-02,2017-06-19,False
UTX,1996-01-02,2020-04-03,False
ARNC,1996-01-02,2020-04-06,False
NWL,1996-01-02,2023-09-18,False
CMA,1996-01-02,,False
GT,1996-01-02,2019-02-27,False
HP,1996-01-02,2020-05-22,False
ATI,1996-01-02,2015-07-02,False
GPS,1996-01-02,2022-02-02,False
AN,1996-01-02,2017-08-08,False
GAS,1996-01-02,2016-07-01,False
HRS,1996-01-02,2019-06-01,False
TWX,1996-01-02,2018-06-15,False
EMC,1996-03-28,2016-09-07,False
APC,1997-07-28,2019-08-09,False
OI,1997-08-04,2016-12-02,False
BBT,1997-12-04,2019-12-09,False
SEE,1998-04-01,2023-10-18,False
KSS,1998-08-14,2020-09-21,False
SPLS,1998-10-07,2017-09-13,False
CCE,1998-10-08,2016-05-31,False
SWY,1998-11-13,2015-01-27,False
CTL,1999-03-25,2020-09-18,False
KSU,1999-04-05,2021-12-14,False
BBBY,1999-10-01,2017-07-26,False
LEG,1999-10-18,2021-12-20,False
XLNX,1999-11-08,2022-02-15,False
CTXS,1999-12-01,2022-10-03,False
AABA,1999-12-08,2017-06-19,False
RIG,1999-12-31,2017-07-26,False
HOG,2000-01-31,2020-06-22,False
LLTC,2000-04-03,2017-03-13,False
ALTR,2000-04-18,2015-12-28,False
MXIM,2000-05-10,2021-08-30,False
TIF,2000-06-21,2021-01-07,False
BRCM,2000-07-03,2016-02-01,False
NBR,2000-10-18,2015-03-23,False
HOT,2000-11-17,2016-09-23,False
RHI,2000-12-05,,False
FLR,2000-12-22,2019-06-03,False
NE,2001-01-16,2015-07-20,False
FTR,2001-02-27,2017-03-20,False
FISV,2001-04-02,2023-06-07,False
ZION,2001-06-25,2024-03-18,False
COL,2001-07-02,2018-11-27,False
FDO,2001-08-06,2015-07-07,False
ABC,2001-08-30,2023-08-30,False
XL,2001-09-04,2018-09-12,False
TE,2001-10-10,2016-07-01,False
PCL,2002-01-17,2016-02-22,False
ANTM,2002-07-25,2022-06-28,False
MON,2002-08-14,2018-06-07,False
